,School,comment,Validated_Labels
25,University of Minnesota,i feel like the college in general is lacking. they advertise they care but i don’t feel like it’s genuine.,DISSATISFIED
26,New York University,i think it’s a great start to have free sessions but there shouldn’t be a cap,DISSATISFIED
27,Arizona State,unfortunately i am not using any of the mental health/wellness services provided.,NEUTRAL
28,USC,"though i have never attended, i appreciate the let's talk drop-in sessions available through my school. what might need more attention is the availability of counseling sessions, as i remember when i tried to make an appointment back in 2020 there were none available.",MIXED
29,Ohio State,"osu’s counseling and consultation services is a complete mess. it is advertised as a therapy option, yet students in crisis aren’t able to get in for months, and the help is near useless",DISSATISFIED
30,Wesleyan University,"caps is kinda diverse, but we could use more people because they're so slow",MIXED
31,UTEP,not sure i can answer this question as i have not asked for any help. ,NEUTRAL
32,Arizona State,i think the counselors are good but a online thing would help as well.,MIXED
33,Santa Clara University,doing more action and spending money rather than emails saying genera statements,DISSATISFIED
34,Pitt,i think there needs to be more diverse psychologists that can help students. also workshops that should be required for mental health,DISSATISFIED
35,UB,i have never seen any sort of advertising about available mental health resources.,DISSATISFIED
36,Bucks County Community College,"i think everything is perfect, bucks does a great job regarding mental health.",SATISFIED
37,Rochester Community and Technical College,"i have never used any services at rctc, i seek help elsewhere.",NEUTRAL
38,Oregon State University,we need more zoom meetings about stress and how to handle school,DISSATISFIED
39,Carnegie Mellon,health services at cmu are temporary fixes for the stress that cmu’s workload puts on its students,DISSATISFIED
40,Georgia,"i'm not sure what mental health or wellness services/supports are provided by my college but in general, i've heard that the quality of such services (mental health/wellness) isn't very good quality nor long-lasting. i think the overall sector of it in uga has to be improved and more funded.",DISSATISFIED
41,Wellesley,"i think some of the counselors are okay at what they do. they're not amazing, but i definitely feel comfortable with them ",SATISFIED
42,Trident Technical College,i have not seen anything about them having any mental health help. ,DISSATISFIED
43,UCLA,i think the triage needs more attention. it seems excessive to wait at least 45 minutes to get help. but their referral plan has excellent rates if you have school insurance. ,MIXED
44,UMass Amherst,i do not know because i have never had mental health issues.,NEUTRAL
45,UCLA,"the caps center and black bruin center is working well at ucla to help support students with resources, activities, and counselors regarding mental health.",SATISFIED
46,GW,in person counseling seems to be working well. the availability and the options for telehealth need to be expanded. ,MIXED
47,University of New Mexico-Main Campus,i think my college is doing alright when it comes to mental health wellness.,SATISFIED
48,San Joaquin Delta College,counseling as in just hearing about what student had to say really worked well for me personally,SATISFIED
49,Arizona State,they shouldn’t set limits on how many weeks you can see a counselor just cuz staff is limited.,DISSATISFIED
50,Texas A&M,"an aspect of mental health that needs improvement is that mentally ill people sometimes aren’t aware that they are unwell, and may not even consider they need help. others that are aware are presented with hindrance stressors, like jumping through a bunch of hoops just to schedule an appointment. it was through a conversation with my advisor (which took me weeks to meet with because i was avoidant) to get an appointment scheduled with someone at sas. i thought they were my counselor, but they only sent me resources to contact a counselor. which is better than nothing. i do not want to complain. 

i do plan on meeting with a counselor because i’m willing to do whatever at this point to get out of this point of my life, however i don’t feel like making an appointment. i haven’t been able to complete my coursework; why would i prioritize scheduling appointments with counselors? 

so i feel as if the campus community could benefit from easy access to a counselor. i think every human being needs to attend counseling, anyways. the challenge would be to make it not too easy to schedule, otherwise it might be overused, and inefficient. ",DISSATISFIED
51,Arizona State,counselors are always available. sometimes it is hard for students to reach out first.,MIXED
52,Arizona State,sails department for special needs students and online students are a great asset for asu and more attention is needed to maintain good standards with them,MIXED
53,Arizona State,i think there needs to be more options for online students. i get all the info about on campus options but i’m not ever on campus - i’m an out of state student. ,DISSATISFIED
54,College of Charleston,"i can't say i've used any services personally, but i know there's always signs and posters for the cougar counseling and the texting line thing that they have, and that seems good. ",SATISFIED
55,Arizona State,"i haven’t interacted with my schools mental health resources; however, they’ve generally done well in terms to providing physical health resources like fitness classes",SATISFIED
56,University of Delaware,seans house is nice they have counselors and support animals i think there just needs to be more on site counseling and also let students know where that is,MIXED
57,Siena College,i am not sure. i don’t feel like i am getting any help with my mental health,DISSATISFIED
58,Florida International University,the counseling on-campus helps students out everyday. fiu should focus more on online counseling because the pandemic forces students to stay home,MIXED
59,Arizona State,"i’m an online student, and i haven’t heard too much about many mental health services offered. i don’t know if it’s because i am an online student and it just isn’t as available to online students compared to on-campus students, but i think there should be options to have video appointments, and maybe have those professionals be able to look into referrals to professionals in that student’s area, so they can receive local help as well. ",DISSATISFIED
60,UC Riverside,i am not really sure since i use my own mental health and wellness services.,NEUTRAL
61,Virginia Polytechnic Institute and State University,there needs to be more and faster availability to counseling on campus ,DISSATISFIED
62,Arizona State,i have not attempted to use any mental health resource because i am primarily an online student ,NEUTRAL
63,MIT,"the fact that i know multiple people who were told they needed more support than mit could provide and then just completely ghosted is absolutely abhorrent. if someone so desperately needs help that the counseling services at the school aren't able to provide it, they absolutely should be doing everything in their power to connect that person with off campus resources that can help them immediately. ",DISSATISFIED
64,Binghamton,"there seem to be many services, but many of the people running them are students who aren't sure of what they're doing.",DISSATISFIED
65,Wellesley,i feel as if there desperately needs to be more diversity on the counselling team as well as more response to student input. i feel like certain counsellors (jan park) are very harmful to students and simply need to be checked. i think the college does a good job of providing a little bit to everyone but this spreads it thin.,DISSATISFIED
66,Youngstown State University,none really if you reach out to counseling and have problems that can’t be fixed in 2 talks you are told you have to many problems and no one is going to have problems that can be fixed fast if you are going for depression or anxiety bc that’s just not how it works,DISSATISFIED
67,CWRU,none i’ve been to health counselling several times and the counsellor always ends up leaving cwru after a year. or i just don’t match well with the counsellor ,DISSATISFIED
68,Arizona State,"i have never used counseling services at asu; however, i have highly considered giving it a try. i would like more attention on being physically ""at peace"" (i.e. coming to terms with how you look, accepting your body).",NEUTRAL
69,Muhlenberg College,i dont use them much so i dont know which are working well. they need more attention to allowing more sessions for students,DISSATISFIED
70,UMass Amherst,there are not enough counselors and i have heard so many stories (including my own experience) where friends have wanted to go to counseling services and they are told they have to wait months to book an appointment,DISSATISFIED
71,Houston Community College,"i honestly do not know, as all of my classes became online only. ive just been at home ",NEUTRAL
72,UMass Amherst,"most of my experiences with these services were in 2019, when i was really struggling with depression and anxiety. i was told that there weren't enough resources to really help me, and to try and find a therapist off campus. i feel as though umass does a great job advertising, but it's hard to know that you'll get actual support when you need it",DISSATISFIED
73,Florida Institute of Technology,students who struggle need a safe and easy way to reach out,DISSATISFIED
74,Arizona State,there needs to be a way to streamline classroom help for mental health issues.,DISSATISFIED
75,Arizona State,i haven’t utilized on-campus services so i don’t know what’s working or what isn’t.,NEUTRAL
76,UTM,the attention and awareness of mental health is working well. they destigmatize it,SATISFIED
77,UTEP,"i suppose the on campus counseling when i was struggling in school during the fall 2021 semester, not related to the pandemic ",SATISFIED
78,LSU,"i think the school at least has some sort of staff that can help students, but i'm very hesitant to ever use those resources since of all the bad things i have heard about it. i've heard that the staff isn't very attentive and doesn't really listen to students/clients and people's experiences just overall haven't sounded that good. there's a quantity of resources, but it seems like the quality of those resources isn't actually that helpful for those who are struggling.",DISSATISFIED
79,UB,"generally the services are okay, but they gave been getting worse over the past few years",DISSATISFIED
80,CU Boulder,cu’s mental health “department” is a shit show. they don’t care about students. they made a promise to bring on 20 new providers and actually fired 10 existing ones instead. when i reached my lowest low i asked for therapy twice a week instead of once and they discontinued my care entirely because of the request. the director did a coverup job and tried to conceal my health records that i am legally obligated to. it took two months for me to finally have all of my health documents in my possession and i had to use a third party to force her to give me the information i was entitled to. ,DISSATISFIED
81,Youngstown State University,"i'm not to sure as i have not gone for help, but from what i have heard, they are quick to diagnose kids with adhd and give them medication. some kids' problems are more deeply rooted and greater than adhd",MIXED
82,Arizona State,i have a coach that helps me set goals and that works pretty well,SATISFIED
83,Gwinnett Technical College,i am not aware of the mental health service that my institution provides.,NEUTRAL
84,UConn,"need more scheduled communication, perhaps group sessions, people who are going through the same thing ",DISSATISFIED
85,Florida International University,not sure. the counseling center worked well for me prior to covid when i attended.,SATISFIED
86,University of Arizona,there’s not any well provided they’re hard to access and not useful ,DISSATISFIED
87,UNC,i think it should be free for all students who want it. at least 10 sessions with a mental health professional should be available to us each school year.,DISSATISFIED
88,Haverford College,"i’ve liked my caps counselor a lot, but i think that the college staff in general should do a better job addressing mental health. ",MIXED
89,Penn State,"we have a program called caps but hardly anyone knows it exists, and it is very hard to get an appointment.",DISSATISFIED
90,University of Houston,the on-campus mental health center frequently organizes events to spread awareness of certain mental health issues.,SATISFIED
91,UC Davis,"each aggie matters is a great program i've seen in social media and at therapy fluffy events, but i don't know what it has to offer beyond that",MIXED
92,Campbell University,counselors have been a great help in assisting student about issues and stressors. athletes need more attention when it comes to mental health ,MIXED
93,Pierce College-Puyallup,"all aspects have worked great for me, i think more diversity in counseling staff would be helpful. ",MIXED
94,UMass Amherst,i think the university does a good job advertising different support groups but i think that there should be more access to counselors. i have heard that it is difficult to find an appointment,MIXED
95,Arizona State,"i know that many (or all) professors include mental health help information in the course syllabus. however, it is not usually the first place one may think to get the resource information.",DISSATISFIED
96,UB,"there is a mental health center, however i greatly urge and ask for there to be a way to sign up for appointments online and not solely through telephone calls, as those too are very stressful for some people and makes getting an appointment a daunting task.",DISSATISFIED
97,Boston University,"we have a varieties of counseling, but it seems intimidating for those not familiar with counseling.",MIXED
98,University of Massachusetts-Lowell,"i'm not familiar with services provided by the college.
overall, mental health needs to be the foremost important thing to be maintained for each student and staff member.",NEUTRAL
99,Boise State University,"there are definitely known resources like counselors and group therapy, but it is difficult to get appointments. ",DISSATISFIED
100,Brandeis,"brandeis is doing well in finding students who need support and recognizing their needs. it lacks however on how consistently and effectively it fulfills those needs. for example a student could reach out or be reached out to by the bcc to start therapy once a week, but that therapy may not actually help the student or give them the advice they need. ",MIXED
101,Arizona State,"i think that having counseling students intern as counselors is helpful because there is less intimidation when talking to them, but on the other side of that i feel as thought they may not be entirely qualified to help some people",MIXED
102,Duke,"counselors need to be more diverse, as i've already mentioned.
my visits to caps in fall 2019 were practically useless although i was on the brink of a mental health disaster in my life. thankfully, i fixed my problems with the help of friends, family, and even strangers over the semester i took off in fall 2020. this was only because those people truly understood my non-generic problems and were willing to give me time. they were willing to walk alongside me with my every day activities.

maybe matching students who can help each other and both can actually give time of the day to each other might be also a good solution.

another essential is having more counselors. i think being told to come back 14 days later is an absolute red flag. ",DISSATISFIED
103,Arizona State,"not really sure, the way they go about mental health services just doesn’t motivate me to use them",DISSATISFIED
104,Stony Brook University,"i only made appointments but they never offered help, so i don't know ",DISSATISFIED
105,Kent State University,"on site counselors

activities scheduled throughout week like therapy dogs on campus",SATISFIED
106,UTK,"there are mental health resources widely available, which is extremely beneficial. however, there is such a long waitlist for counseling sessions, so my fear is that people who need urgent help are not going to receive it.",MIXED
107,Yale,"we get free therapy, but the therapists are known to be really bad and overwhelmed and unavailable.",DISSATISFIED
108,Arizona State,the random activities where it's like free painting bring me temporary seratonin,SATISFIED
109,Oswego,the counseling center is way over booked. students either can’t get an appointment or they only get like one or two each semester. this is something that many people need consistency with. the college needs more funding so that they can hire additional mental health counselors and therapists.,DISSATISFIED
110,Virginia,"caps work okay, but office hours or open hours for students to get mental health help would be useful ",DISSATISFIED
111,UMich,we offer a lot of resources but it's unclear how helpful they are.,MIXED
112,Louisville,none of them. we only have one counseling office and it was so backed up that it took me a month to even get a triage/meeting and they simply forgot to send me the email for the triage. ,DISSATISFIED
113,Dartmouth,"i appreciate that they’re really trying to tackle the mental health issue, but it’s telling that it only got real attention after the tragedies last year. but many of the things they promote are ineffective. the student wellness center almost only does yoga, as if yoga is the one and only way to get better mental health",DISSATISFIED
114,Utah,theres a lot of resources which is nice but the biggest issue is a high turn over rate of college counselors which lessens wanting to seek help on campus and professors not being lenient/understand nag ,DISSATISFIED
115,Washington State,the counseling centers are so busy that no one can get in. there is also a lot of students who don't know about them. ,DISSATISFIED
116,Sierra College,"my teachers make sure that the students know what resources are available which is good. there need to be more people available to talk about feelings and current events rather than just focusing on school schedules. particularly for disabled students, poc, and other disadvantaged students. typically our counselors focus on our school work, rather than doing something like cbt. ",MIXED
117,Missouri State,open to meeting with different counselors if one counselor does not work out,DISSATISFIED
118,UWEC,having therapy dogs is very calming during stressful situations. i think more engaging options need to be available.,MIXED
119,Youngstown State University,i am not sure what aspects are working well because i do not partake.,NEUTRAL
120,Stony Brook University,"i think caps could be improved on. i didn't feel i really connected with my counselor when i had her. she didn't really remember things about my case and asked me the same questions week to week. if there were maybe more counselors who could connect more with their clients, i think it would be much more helpful.",DISSATISFIED
121,UMich,"therapy dogs seem to be quite popular, but the counseling provided by caps needs to be more accessible to students for longer periods of time before recommending off-campus help.",DISSATISFIED
122,Florida International University,i believe the therapists being offered are working well because although i haven’t attended any therapy session i’ve had friends who have and they had positive things to say about it. ,SATISFIED
123,Arizona State,"i have not used my college’s mental health services, so i do not feel qualified to answer this question. ",NEUTRAL
124,Youngstown State University,my experience with the colleges mental health services was perfect i can't really suggest anything to improve it beyond what i experienced. however that does not mean there is not room for improvement somewhere.,SATISFIED
125,Arizona State,i would say currently they have done a great job in making it known services are available and how to use said services. i would say there should be a way for them to focus past issues of anxiety and depression.,MIXED
126,Iowa Central Community College,"i'm not sure about college supported services, but i think the accessibility of therapy for college students is not the best. coupled with insurance...not great.",DISSATISFIED
127,Kent State University,counseling works well. more attention is needed in reducing stress for students,MIXED
128,UConn,what works well is the events they plan every once in a while that bring awareness to mental health. what doesn't work well is the lack of availability of in person counseling.,MIXED
129,Binghamton,i have yet to use services provided by the school. an anonymous hotline could be a good idea ,DISSATISFIED
130,George Mason University,i haven’t used campus services because i get confused about the extent of the services provided. and word of mouth from other students about their poor experiences made me doubt campus services. ,DISSATISFIED
131,University of Minnesota,"i have a few friends who have regular or semi-regular counseling meetings. they seem very grateful to have those sessions and look forward to the days they can talk things out with a professional on campus. i guess as someone who is interested in starting counseling, i don’t know where to begin so that may be something they could communicate more to both new and attending students.",MIXED
132,Stony Brook University,"none of them are working well, the mental health advisors do not take the mental health of students seriously",DISSATISFIED
133,UPenn,"caps short term counseling does not work that well. some student could much benefit from a longer client-therapist relationship but don’t have the time, money, or knowledge of finding a therapist from outside the university. caps referral service also was terrible and didn’t help me. the quality of caps therapists were hit or miss—i’ve tried over 4 different people. the university also doesn’t prioritize student mental health in general, having a “wellness week” does nothing in comparison to actually having policies regarding attendance, longer and/or more frequent breaks, not letting professors assign work during breaks, etc. ",DISSATISFIED
134,Colorado School of Mines,the initial meetings with the wellness services were good. the process was quick to see what resources i needed at the time. the staff was very caring. now that i've moved on from that i feel like i still need help and i don't know how to ask again.,SATISFIED
135,USC,"there are programs like one called wellness wednesdays that are dedicated to de-stressing by spending time working on arts and crafts and i like going to this one. but i think they are lacking in free physical fitness classes or groups. although my school encourages us to exercise, fitness classes are not free. ",MIXED
136,UCLA,i know students who would like someone to talk to but do not get replies back from the mental health services at school.,DISSATISFIED
137,UW Whitewater,i think that the graduate students at winther are doing a great job!,SATISFIED
138,University of Nebraska-Lincoln,"i do not use on campus services, i see a private therapist.",NEUTRAL
139,University of Arkansas,trying to make an appointment with on campus counseling was really hard for me ,DISSATISFIED
140,Bluegrass Community and Technical College,all of it needs attention you don't know about it unless you accidentally stumble upon it ,DISSATISFIED
141,Carl Albert State College,therapy is working well for me while balancing taking care of my son,SATISFIED
142,UMich,"the 24 hour line is good
need more staff, the wait i heard can be a bit long
i've never gone though",DISSATISFIED
143,Penn State,i like that it exists. but i would love if it got expanded more to include a bigger staff to support more students. that way it would be more accessible ,DISSATISFIED
144,Tufts,"we need so much more, it is impossible to get an appointment in an at all reasonable amount of time, and with mental health, this is a major issue and can be dangerous.",DISSATISFIED
145,Riverside City College,the in person counseling works best for me. it can improve on its promotion of services.,MIXED
146,University of Delaware,i am not sure because i have not used the resources here ,NEUTRAL
147,Middlesex Community College (1),"i’m not sure, but we have emails being sent out but it’s hard for us to see them due to us needing to log in and look nf or them personally ",DISSATISFIED
148,CU Boulder,"working well: communication of help available

not working well: the help available. student issues feel like they are not often taken as seriously as they should be and the clinic is often booked far out, meaning a student in crisis now cannot get help.",MIXED
149,GW,"need better understanding of student needs past anxiety, better informed of trauma ",DISSATISFIED
150,Dartmouth,24 hour nurse line. the time length to be connected needs to be imprived,MIXED
151,Oklahoma,"i have not personally used the mental health services on campus, but from what i have heard, they are helpful. the resources are definitely there. one of the biggest issues is that there is not enough staff, so people may not be able to immediately get in for help.",MIXED
152,George Mason University,"the help seems alright, i personally don’t know how to fix it. but i think for most students it’s scary going in for the first time so somehow making it more normalized or welcoming could help",DISSATISFIED
153,Oregon,college counseling seems to be working well. people should talk directly to me more if they really are concerned about me.,SATISFIED
154,UMass Amherst,"considering i haven’t used them very much but the few experiences i’ve had with it it’s been fairly ok. mainly going through zoom calls and such but i feel a bit disconnected when doing it through this. and yes i know that due to the pandemic these services needed to be done through that, i just don’t feel online resources are the way to go at least for me. ",DISSATISFIED
155,UB,i like how mental health services are available to us as ub students and my professors remind us that we can utilize them at any time,SATISFIED
156,George Mason University,"the quality of caps is not great at mason, but it’s availability is good and is accessible ",MIXED
157,UConn,honestly i don't know because i have not used the resources but pet therapy has been awesome.,SATISFIED
158,UMass Amherst,the umass professors are actually terrible at being understanding or accommodating towards students struggling with mental health.,DISSATISFIED
159,Purdue University-Main Campus,mental health action week and other purdue student government communications about mental health awareness and support.,SATISFIED
160,Williams,"there are not enough therapists, and campus culture as a whole is pretty toxic when it comes to mental health. the response from the administration is not consistent across professors ",DISSATISFIED
161,Arizona State,"success coaching has been good, but could be more personal and those questions of mental health could be asked without pressuring the student. a personal connection to feel like someone is on your side and there to listen really helped in those meetings.",DISSATISFIED
162,Rochester,certain number of free therapy sessions are good but not enough. quality of therapists seem to be a hit or a miss. i seem to have lucked out.,MIXED
163,University of Nevada-Reno,counseling center works well. something that should be improved is having someone that can prescribe mental health medication ,DISSATISFIED
164,Oklahoma,"we have $10 counseling services, but they fill up quickly. expanding this is key",MIXED
165,Florida,cwc counseling is really difficult to get into. drc works really well to help alleviate some of the stressors / pressures that school has on mental health.,MIXED
166,Oregon,i think that the thing that needs the most focus on is making sure that we have complete access to wellness services 24/7,DISSATISFIED
167,UT Austin,there shouldn’t be a limit on the number of mental health service appointments a student can make ,DISSATISFIED
168,UConn,the cheap sessions offered by grad students supervised by professionals seems like a really good way to give everyone access even if they dont have insurance or dont want their parents to know,SATISFIED
169,Pepperdine University,i think the mental health groups (such as mindfulness) need more awareness ,DISSATISFIED
170,Virginia Polytechnic Institute and State University,"i appreciate that the cook counseling center has multiple psychiatrists on staff who can prescribe/manage mental health medications (i've had bad experiences with some of the few off-campus providers before switching to cook), and the reception/nursing staff that help manage appointments and rx refill requests are quite helpful (especially nurse crystal)",SATISFIED
171,UT Austin,mental health resources are good but needs reformment/better staffing/procedures lots of students have had a bad experience that give the resources a bad reputation ,DISSATISFIED
172,New York University,i know we have the wellness center but i have not used it. from my friends that have i hear staffing is the biggest issue since there are so many students and not enough counselors.,DISSATISFIED
173,UMich,"they do have counseling services, however they are hard to access. most professors are pretty welcoming but i think that if mental health days off were offered in the syllabi of classes that it would better to prioritize mental health. given the esteem of the university, there is a lot of pressure to thrive and a lot of pressure to compete with your peers, helping to reduce that pressure would also be helpful for a lot of students. ",DISSATISFIED
174,University of Illinois at Urbana-Champaign,"none.  the only thing i found helpful is that my professors were extremely understanding and very willing to help.  the university focuses on immediate problems and does not help support students with mental health issues long term.  the mental health services are abysmal and provide a one-size-fits-all approach to treating the wide variety in depression, anxiety, etc. experienced by students campus wide.",DISSATISFIED
175,Ole Miss,the presentation of possible services such as telehealth and the ease of use for mental health services is good. i think mental health check ups could be implemented through the semester more.,SATISFIED
176,Virginia,"we had two days for drop-in counseling where students signed up to meet with a counselor for 20 minute sessions. this helped me learn about some resources for myself. i don't have much experience with other mental health wellness services at my university, but i have heard from other students that there can be long wait times to meet with counselors and they're more a short-term solution (e.g., referring students to other therapists). there is a new telehealth counseling service which i don't know much about but it seems to address these problems.",SATISFIED
177,Haverford College,"on campus free therapy, makes it affordable and an option for everyone on campus. we need more therapists, though, because wait times are extremely long. also, a dedicated health and wellness building would be beneficial. ",MIXED
178,University of Washington,"i used the telecounseling over the pandemic, but i wish i could go past my 4 visits with the addition of more staff at uw for therapy",DISSATISFIED
179,University of Minnesota,i think it needs to more readily available not just like a 9-5 thing.,DISSATISFIED
180,Santa Clara University,we need more education  programs on what to do when someone we know is facing a mental health issue,DISSATISFIED
181,Haverford College,"caps is working pretty well for me, but i wish there was a way to feel more connected to other students in my effort to improve my mental health.",MIXED
182,Arizona State,the appointment system for mental health services is bad. it doesn't represent the full range of services.,DISSATISFIED
183,Carnegie Mellon,"one on one therapy works well, but the limitations on how many sessions of therapy are allowed are harmful.",MIXED
184,Arizona State,"i like my college's wellness coaches, but availability is limited, which is a problem. ",MIXED
185,Tufts,i think the mental health department is good but just lacking funding and resources. it’s hard to schedule staff for counseling appointments and there also isn’t much importance placed on mental health in comparison to schoolwork.,DISSATISFIED
186,University of Nebraska-Lincoln,"i have not reached out yet, personally, but i know some people who have had relatively good luck with caps counseling. ",SATISFIED
187,Arizona State,i didn't really know where to go as an online only student,DISSATISFIED
188,Utah,there needs to be more therapists available and their services need to be more accessible,DISSATISFIED
189,Texas A&M,i never used the campus resources so i could not say. i always see posters everywhere so i know that they exist.,NEUTRAL
190,Iowa State University,a lot of students have benefitted from the student counseling center on campus. ,SATISFIED
191,UConn,"there are some weekly events at the end of each week that provide activities for students to unwind, and sometimes little things throughout the week like giveaways that are nice. i wish there was more promotion of programs offered by the college in regards to mental health services, as i’ve heard mediocre things about those services",MIXED
192,University of Arizona,"i don't think i've experienced much of what ua has to offer in regard to mental health. as a part of trio, i do get asked and checked on but i wouldn't really consider it a mental health service. i think i see more aspects of stress and depression but i rarely ever see aspects of procrastination or lack of motivation in regards to mental health.",DISSATISFIED
193,Temple,nothing is really working well. more flexibility when it comes to attendance and mental health. drs is helpful though,DISSATISFIED
194,Stony Brook University,"the weekly counselor appointments. finding the right counselor for a student is important, and i don’t think my student health services has done that effort. ",DISSATISFIED
195,Arizona State,"i'm not sure, i've had trouble figuring out what resources online students have, and i can't find very much.",DISSATISFIED
196,Virginia Polytechnic Institute and State University,aspects that could be improved are availability. what they do well is crisis services.,MIXED
197,Haverford College,"caps is a joke. they are difficult to get an appointment with, don't prescribe the medications i need, and don't care when i am struggling.",DISSATISFIED
198,UNC,caps is an option that is good for students but it is limited in the help it can provide.,MIXED
199,J Sargeant Reynolds Community College,i have no idea. i have not looked into using any assistance ,NEUTRAL
200,Johns Hopkins University,they have a good group of therapists. but they don’t provide a ton of different areas of specialty. ,MIXED
201,Oklahoma,i think they need to do a better job advertising mental health services,DISSATISFIED
202,CU Boulder,"the let's talk hours are a good method of getting support when you haven't planned ahead, but can sometimes be busy enough that you can't get a chance to speak with a therapist. with the high demand for mental health support, it's just hard to schedule an appointment and find a time that works. having more counseling staff would be great. ",MIXED
203,Smith,"i like group therapies a lot, but we need more resources for getting help for serious mental illnesses.",MIXED
204,Arizona State,more attention to anonymous survey or check in with students so they can receive advice what they can do about it,DISSATISFIED
205,Ohio State,drop-in counselling is not bad. student disability services are fairly accessible as well. it would be nice if counselling was a little easier to understand how to get. ,MIXED
206,Lehigh,"i have not personally used these services, but i see advertisements for them throughout the campus and assume these services do a good job",SATISFIED
207,Arizona State,"while it’s not talked about much in ways such as emails, professors often provide links to learn so i appreciate that.",MIXED
208,Oregon,from my experience everything is working well. i think they would benefit from having more people staffed to help the students.,MIXED
209,Notre Dame,i mean we have a counseling center which i guess is something but we are severely understaffed and it's very difficult to get an appointment during hours and impossible after business hours so you better not have any problems on the weekends i guess.,DISSATISFIED
210,Ohio State,"when someone needs assistance, i want my college to focus on making sure that person receives the help they need. follow up is not the best. ",DISSATISFIED
211,Southwestern College (1),i think there should be more awareness and encouragement made for the resources. ,DISSATISFIED
212,Claremont McKenna College,the referral process works well but it should be even easier and there should be less wait time. ,MIXED
213,Wheaton College (1),i would like more on-campus assistance regarding the diagnosis of mental illness or learning disabilities. i'm currently in the process of seeking a diagnosis and i wish there was more support on campus.,DISSATISFIED
214,University of Minnesota,"i tried reaching out to campus mental health service online last semester, which was when i needed the most help but didnt get reply till now. so now i just tried to not rely on them and help myself",DISSATISFIED
215,UC Berkeley,the undocumented student program runs individual and group sessions which supplements the times when you don't have an individual appointment. i think more staff should be hired so that they can reach more students on time. ,MIXED
216,Rowan,"i don't have an answer to the first question but for the second i think awareness of social factors' impact on mental health desperately needs to be addressed because mental health struggles are very different between financially secure straight white people vs. people of color, immigrants, poor people, lgbtq, etc. groups",DISSATISFIED
