,School,Comment
10,University of Arizona,"i think getting more people to focus ""living on the now"" would be very beneficial, a lot of my mental problems stem from either thinking too much of the past (friends i wished i stayed in touch with, social interaction i wished i acted differently in), or worrying too much about the future (what if i lose passion towards my major, what if some domino effect causes me to lose everything i ever cherished in my life) (notice these unhelpful what-ifs), so getting the idea of get out of your head, stop overthinking, and just do is something that has been helpful to me."
11,Lewis & Clark College,"i feel the college has notoriously let people down in regard to mental health services. it is difficult to receive ongoing counseling, many of the counselors that i've seen have been unfriendly or unhelpful, and it is extremely difficult to get a psychiatric diagnosis in order to receive accommodations. above all, the majority of the counselors are white women, which makes it difficult to describe my experiences to them as a person of color and they often provide culture-blind strategies for dealing with problems. john hancock has been the most helpful person to me, but he is unavailable for ongoing counseling appointments."
12,Illinois Valley Community College,"i'll be honest, i don't have time to take care of my mental health, so i don't. i'm stressed about the way the world is and this was before the pandemic even started. ever since graduating high school, things have been different and way harder. everything costs more, i finally get a job that can hold me over and i can afford to save up for my future and suddenly that's not good enough. why raise the living wage if you're going to raise the prices of everything else? it leaves us back at square one and i can't afford jack anymore"
13,Lafayette College,"i think that it is really good that a lot of professors encourage and advertise mental health services available on campus. that being said, i only hear this at the beginning of the course and no other times afterwards. furthermore, the resources for health services are only open on weekdays and it is so tedious to find where and how to schedule a time slot. and on top of that, i felt that the time when i went to visit the mental health center at the school, i felt that it lacked life and that i was talking to a robot."
14,UPenn,"caps short term counseling does not work that well. some student could much benefit from a longer client-therapist relationship but don’t have the time, money, or knowledge of finding a therapist from outside the university. caps referral service also was terrible and didn’t help me. the quality of caps therapists were hit or miss—i’ve tried over 4 different people. the university also doesn’t prioritize student mental health in general, having a “wellness week” does nothing in comparison to actually having policies regarding attendance, longer and/or more frequent breaks, not letting professors assign work during breaks, etc. "
15,Rochester,"counselors on campus are not experienced in the field. they are grad students who are not qualified to address extreme trauma such as sexual assault, domestic violence, and homelessness. i am also not comfortable with group/individual sessions being recorded and this have affected my ability to open up. there needs to be resources for long term therapy and better recommendations for therapists off campus. for context, i recieved no help in finding a therapist off campus. there also needs to be flexible hours on weekends and evenings as students have classes during the day. "
16,Virginia,"we had two days for drop-in counseling where students signed up to meet with a counselor for 20 minute sessions. this helped me learn about some resources for myself. i don't have much experience with other mental health wellness services at my university, but i have heard from other students that there can be long wait times to meet with counselors and they're more a short-term solution (e.g., referring students to other therapists). there is a new telehealth counseling service which i don't know much about but it seems to address these problems."
17,Earlham College,"the psychiatric nurse practitioner is relatively accessible, which is good considering so many students have no access to healthcare outside of campus. everything besides that needs more attention. there is no easy-to-find/access on-campus support for students who need to find a real therapist, which leads to these students receiving no mental healthcare because they have had such poor experiences with counseling services. earlham needs someone who is dedicated to connecting students with in-network licensed therapists who they can continue to see during breaks and after graduation, ensuring continuity of care. "
18,New York University,"we have a 24-hour crisis hotline, which is a great resource with very little wait time (that i've experienced). however, probably about half the counselors employed at the student health center seem to be qualified for their jobs. many seem to want you out of the office as quickly as possible rather than wanting to listen and help, and others are extremely oblivious to the realities of mental illness (i.e. a counselor telling me to ""just try harder"" to fall asleep when anxiety was keeping me up at night). "
19,Utah,"i don't know entirely what the full mental health services on campus are, but for me my biggest stressor right now is academics. i feel like school is so overwhelming i have had very little time for much else in life. i also feel like i am struggling with dating anxiety, that with rigorous academics and nearly two years of covid isolation i don't know how to approach the opposite sex and engage in a relationship... which is frustrating since it seems to come naturally to my peers. "
20,Temple,"i haven't utilized the mental health services but i think that we should have more indirect services that support mental health. it can be less intimidating for students to go out to a mental health program that's beneficial to them than seeking a guidance counselor directly from my own personal experience. if there are resources, maybe they need a way to promote these better? a suggestion i have is to reach out to advisors of each college and ask for them to send out emails/announcements about these events."
21,Stony Brook University,"i have only utilized caps as a resource. i believe this has worked well due to how much i love my counselor. however, it took a while to get to her. before this, i was placed with a counselor (who was a man when i asked for it not to be) who asked extremely invasive questions and was very misunderstanding. it warded me off from caps. i’ve also heard other people caps takes way too long to get back to them and doesn’t have enough room."
22,University of Wisconsin-Madison,"i have never explicitly used the services given by the college, although looking back there were points where i probably should've. i think more communication and general support from the university would go a long way, since there are probably others who have been in situations like mine. if i knew what services were available and how to receive them it would be easier to get them rather than having to do the research myself when i'm not sure what kind of help i want."
23,Arizona State,"the free counseling sucked, they need more faculty and especially more diverse faculty.  it got to a point where they were more focused on sending me to an off campus therapist than making sure i am taking care of myself and i dreaded talking to them.  they need to have an actual on-campus option.  i don't have a therapist because they're all so expensive and the on-campus staff is only really focused on short term rather than long term solutions."
24,University of Central Florida,"i love the space on the main campus, it's so welcoming and safe, it doesn't even feel like i'm on campus. i also like how many, not all, of the counselors, are licensed professionals, which gives me peace of mind. i think most students agree there needs to be more counselors or if not a good relationship with a network of counselors. once you are in the system it's not bad to get an appointment, but the initial appointment is hard to get."
25,Cornell,"the university's approach to mental health has become a triage, turning permanent counseling services into temporary ones to aim to reduce suicides and severe mental health issues, at the cost of cutting long-term care to many students who relied on it. it's a backwards approach; the university needs to funnel a massive increase in funding to its on-campus counseling and restore its old system, as there are many students who feel they have nowhere to go anymore for mental health assistance. "
26,LSU,"i think the school at least has some sort of staff that can help students, but i'm very hesitant to ever use those resources since of all the bad things i have heard about it. i've heard that the staff isn't very attentive and doesn't really listen to students/clients and people's experiences just overall haven't sounded that good. there's a quantity of resources, but it seems like the quality of those resources isn't actually that helpful for those who are struggling."
27,Arizona State,"i don’t know what services are working well because i personally am unaware of the ones we do have. i think aspects that need more attention are those for students who are first generation. ideas like imposter syndrome play a huge factor. you feel you don’t belong, no one relates, you’re unsure what job you’ll get outside of job, if any at all. i think there should also be more advising on helping students create plans for after college. "
28,Housatonic Community College,"the aspects of the mental health and wellness that need more attention are more professional counselors that can attend to the students who would like to make an appointment to discuss their mental health. right now there are only 2-3 counselors available that attend to the 3,000 students on campus which sounds stressful enough as it is and having more counselors at the school, regardless of what race or gender a counselor is, will be beneficial to the students. "
29,Willamette,"many students base assumptions on all staff based off of how we interact with the more common employees. everyone who works at the front desk is very polite and helpful. but me and many of my (typically female-identifying) peers have felt unsafe, judged, and nervous around and with the nurses in bishop wellness center. they tell you rudely all of the things you could have done to avoid this problem rather than assisting us with the problem now. "
30,UMich,"they do have counseling services, however they are hard to access. most professors are pretty welcoming but i think that if mental health days off were offered in the syllabi of classes that it would better to prioritize mental health. given the esteem of the university, there is a lot of pressure to thrive and a lot of pressure to compete with your peers, helping to reduce that pressure would also be helpful for a lot of students. "
31,Arizona State,"i’m an online student, and i haven’t heard too much about many mental health services offered. i don’t know if it’s because i am an online student and it just isn’t as available to online students compared to on-campus students, but i think there should be options to have video appointments, and maybe have those professionals be able to look into referrals to professionals in that student’s area, so they can receive local help as well. "
32,Arizona State,i do not really know as i have not utilized this service from asu. i do however know that asu does a good job at advertising counseling as an option for students. i have had several friends talk to me about their experiences with asu counseling and that it is lackluster and they redirected them to people outside of the campus. it would be nice if they were trained to be able to deal with all issues.
33,UTK,"i seek mental health help with an off-campus therapist and am not very familiar with the inner workings of ut's on campus therapy/supports. i do think there needs to be more classroom/workload support for students struggling with their mental health. my biggest stressors and struggles are often directly related to my classwork and ability to succeed in class, and it feels like there is no support for those struggles that translates directly to classes and workload. "
34,Arizona State,"i feel as though we are told we have them which is great about telling us it is there, but does not give specifics about what they do, how they help. they seem as though it's like high school counselors, who can't help other than tell you ""it's okay, you'll get through it."" i've been told multiple times the asu counselors not good compared to an actual therapist and that's why i have never gone. "
35,University of Minnesota,i think the clubs on campus are a great way to meet new people with similar interests and do something you enjoy together. participating in things like clubs does wonders for the brain because it gives you something to look forward to and have fun with outside of classes. i think clubs in general need more attention and support from the university since they are places where most students meet and make friends on campus. 
36,Brigham Young University-Provo,"i think it is great that we have caps, and i know lots of students use that services. i'm not sure how it is recently, but i know in the past it was nearly impossible to get an appointment, especially last minute. i think it is really great that we have a coordinator who can help students find off campus care and i wish that more people were open to that kind of thing. "
37,Arizona State,"i'm cynical about finding a therapist who can actually help. too many therapists, whether they are phds, mds or social workers, just come off as glorified cheerleaders. i need an intelligent, insightful therapist, and i no longer believe i can find one. i haven't given my college a chance to help me because i kind of have the opposite of a placebo effect--i no longer believe any therapist or any drug can help me."
38,Brigham Young University-Provo,"it is widely known that if you need to see a counselor, it will take at least weeks to get you in if not a month or so. i think this is a big failing and students should be able to get support right away. you can always go to the caps office at any point for a one time visit but that is also hard to schedule and not widely advertised."
39,Purdue University-Main Campus,"i like how they promote the services, but the caps system isn't great. i have to call them, and i can never find a place to call them alone, meaning i have to call while around other people, which is very stressful. i wish they would accept emails or forms to register instead, as i don't feel comfortable telling the people around me that i need help with my mental health."
40,UMass Amherst,"considering i haven’t used them very much but the few experiences i’ve had with it it’s been fairly ok. mainly going through zoom calls and such but i feel a bit disconnected when doing it through this. and yes i know that due to the pandemic these services needed to be done through that, i just don’t feel online resources are the way to go at least for me. "
41,Cornell College,"i would consider our mental health facilities to be significantly lacking, although we have counselors they are just that, they don’t meet a lot of the requirements that college students need to win they are struggling severely with multiple mental health issues. one of the biggest things with that is that we only have three free visits a year and that is inadequate to any mental health needs"
42,Sewanee-The University of the South,"in general, there's lots of availability for individual counseling for mild mental illness, but trying to get help for particular issues is difficult because we aren't given bios for therapists. (we also aren't able to choose who we see.) i've already gone through several therapists because it hasn't been made clear to me that they don't specialize in what i need help with until a few sessions in."
43,Arizona State,"i am an online student living near chicago. aside from student-run groups and clubs, there doesn't seem to be as many options for online students who are in need of mental health and wellness services. i think that the school should increase the amount of options available to online students, and make an effort to clearly communicate those options to students so that they know there are options."
44,Northwestern,"i think it’s great that we have caps, but i don’t think that it’s big enough to service everyone who would benefit from it.  i’ve heard from many people that they waited months to get an initial appointment, which has caused me to skip that resource entirely and search for off campus options.  i’m lucky to have that option, but i know many students don’t."
45,University of Minnesota,"i have a few friends who have regular or semi-regular counseling meetings. they seem very grateful to have those sessions and look forward to the days they can talk things out with a professional on campus. i guess as someone who is interested in starting counseling, i don’t know where to begin so that may be something they could communicate more to both new and attending students."
46,MIT,"the fact that i know multiple people who were told they needed more support than mit could provide and then just completely ghosted is absolutely abhorrent. if someone so desperately needs help that the counseling services at the school aren't able to provide it, they absolutely should be doing everything in their power to connect that person with off campus resources that can help them immediately. "
47,Arizona State,"i haven't really accessed the mental health/wellness services because the only ones i really know about are counseling. that costs money and i can already hardly afford college as is, so i never sought it out. but in terms of what may need more attention, i feel that students could benefit from boosting their self-worth/self-respect. i'm not sure what could be implemented to do that though."
48,IU,"i don't think any of it is working ""well."" iu needs more counselors and psychiatrists and better counselors and psychiatrists. if you are only going to offer help for those struggling on average low mental health rather than those struggling with real mental illnesses, say that. they need to have people on staff that can diagnose and actually help those with personality disorders, schizophrenia,  etc."
49,University of Arizona,"i don't think i've experienced much of what ua has to offer in regard to mental health. as a part of trio, i do get asked and checked on but i wouldn't really consider it a mental health service. i think i see more aspects of stress and depression but i rarely ever see aspects of procrastination or lack of motivation in regards to mental health."
50,University of Illinois at Urbana-Champaign,"none.  the only thing i found helpful is that my professors were extremely understanding and very willing to help.  the university focuses on immediate problems and does not help support students with mental health issues long term.  the mental health services are abysmal and provide a one-size-fits-all approach to treating the wide variety in depression, anxiety, etc. experienced by students campus wide."
51,Bates College,"there is a counseling center with a few therapists, a psychiatrist, and a nurse practitioner. two of the therapists are white men, one is a black woman, and the rest are all white women. i see one of the white male therapists (because he is queer identifying and so am i - he’s the only queer identifying therapist). we definitely need more diverse staff. "
52,UMass Amherst,"most of my experiences with these services were in 2019, when i was really struggling with depression and anxiety. i was told that there weren't enough resources to really help me, and to try and find a therapist off campus. i feel as though umass does a great job advertising, but it's hard to know that you'll get actual support when you need it"
53,Tufts,"i think that some of the services largely run by students themselves (ie ears for peers, a student-run hotline) are very successful, and one of the greatest successes at tufts has been allowing them to exist. the actual resources offered by the university aren’t so successful, based on accounts of peers’ experiences, such that i have largely avoided them and have no firsthand experience."
54,Brandeis,"brandeis is doing well in finding students who need support and recognizing their needs. it lacks however on how consistently and effectively it fulfills those needs. for example a student could reach out or be reached out to by the bcc to start therapy once a week, but that therapy may not actually help the student or give them the advice they need. "
55,Texas State University,"my college has counseling, support groups, psychiatry. i have been to counseling and psychiatry at my college. my psychiatrist was amazing but they recently no longer take my insurance. the counseling was not something i would recommend to others. it is limited to short term surface level issues and nothing else. i was referred to go off campus but not given any resources. "
56,Brigham Young University-Provo,"byu has a nice counseling center; however, the staff is lacking, so waiting lists have always been long. i used the services before the pandemic and waiting lists would still require at least a month of waiting. i wish they could have sent me to another therapist outside of the school. byu's biofeedback resources are helpful, but most students don't understand their accessibility."
57,CU Boulder,"the let's talk hours are a good method of getting support when you haven't planned ahead, but can sometimes be busy enough that you can't get a chance to speak with a therapist. with the high demand for mental health support, it's just hard to schedule an appointment and find a time that works. having more counseling staff would be great. "
58,Andrews University,"i know that when the school has events such as open gym or social acativities, that helps me by somewhat forcing me to take a break and enjoy. sometimes it is hard to make yourself take a break. i would also add, having prayer meeting and kenetic worship also helped me when i was at my most stressed this semester. "
59,San Diego State University,the telehealth line takes too long and seems overly complicated for someone like me (a severely anxious person). it would be nice if there were easier accessible online options for students that didn't just involve a phone call/zoom session where i have no idea what to say or do - especially as someone seeking mental health services for the first time.
60,Arizona State,"i know that they have several different options for talking to a counselor. however, there are many more students per councilor, which is likely one of the reasons that several suicides on campus have occurred from the lack of actual availability. in addition, dispite the reduced cost, therapy is still expensive, especially if you have long term issues like i do."
61,Wellesley,i feel as if there desperately needs to be more diversity on the counselling team as well as more response to student input. i feel like certain counsellors (jan park) are very harmful to students and simply need to be checked. i think the college does a good job of providing a little bit to everyone but this spreads it thin.
62,Sierra College,"my teachers make sure that the students know what resources are available which is good. there need to be more people available to talk about feelings and current events rather than just focusing on school schedules. particularly for disabled students, poc, and other disadvantaged students. typically our counselors focus on our school work, rather than doing something like cbt. "
63,SUNY College at Geneseo,"i would like to be able to have an actual therapist to talk to on campus. with teachers or counselors, i feel obligated to only gloss over my personal life and really focus on my academic needs. i feel as though that the health center does not help when it comes to referring students to a real therapist. "
64,Atlantic Cape Community College,"im a rather new student so i can't say anything for certain. i can tell you that after being on campus for a semester, i know next to nothing about the mental health program here. i don't really need it (i seek counseling out of school) but it would be nice to know about for those that do. "
65,Ohio State,"the fact that mental health services are offered is a step in the right direction, but it does not seem to be meeting the sheer demand of students who require assistance. counselling needs to be expanded, in addition to being made more accessible and personalised for students, or else its efficacy, in my opinion, will be severely limited."
66,UT Dallas,"i haven’t used any of the services, but in my freshman year i heard great things about our addiction counseling. there was a presentation where they  made sure to be very inclusive and open. their services doesn’t limit addiction to substance abuse. big gaming campus, so i know a lot of people can be helped there. 
"
67,LSU,"i haven’t gone through lsu for mental health services, but my friend has and they have treated her pretty well. she’s being covered by the lighthouse program and they have been really helpful for her. i can’t afford it, but it’d be nice if some of my fees i pay for school were allocated for mental health services."
68,Stony Brook University,"i think caps could be improved on. i didn't feel i really connected with my counselor when i had her. she didn't really remember things about my case and asked me the same questions week to week. if there were maybe more counselors who could connect more with their clients, i think it would be much more helpful."
69,Arizona State,"i attempted to get on campus counseling and everyone i spoke with refused to use my preferred name no matter how many times i corrected them. they all said they would write it down and put it in my file, but then use the wrong name the next time. i quit the counseling before my first appointment."
70,Dartmouth,"i appreciate that they’re really trying to tackle the mental health issue, but it’s telling that it only got real attention after the tragedies last year. but many of the things they promote are ineffective. the student wellness center almost only does yoga, as if yoga is the one and only way to get better mental health"
71,Fresno Pacific University,"i feel that our college does well in getting the news out there when it comes to counseling on campus but i have experienced my counseling getting interrupted and stopped because for whatever reason the person couldn't do it anymore. i had to change to another staff member but at that point i decided not to anymore.
"
72,UConn,"there are some weekly events at the end of each week that provide activities for students to unwind, and sometimes little things throughout the week like giveaways that are nice. i wish there was more promotion of programs offered by the college in regards to mental health services, as i’ve heard mediocre things about those services"
73,Arizona State,"i think encouraging the creation of online student communities. it can be difficult for online students to get to know each other beyond the classroom, and is limited within the classroom since classes are so big. while classes can have group discussions or projects, that is on an academic level with academic pressures and requirements. "
74,Arizona State,"support and acknowledgement from my success coach nino has been the most helpful resource for me when it comes to my mental health and school.
i believe instructors need to be more supportive and understanding of daily life obligations for online students. i know that kind of positivity and understanding would help my mental health. "
75,Sterling College (2),mental health or wellness services and supports provided by my college that are working well are their free on-campus counseling and using tele-health services when needed. aspects of mental health and wellness that need more attention are the diversity of the counseling staff and the inability to prescribe medications as a part of the college.
76,Arizona State,i am not aware of any mental health counseling or support on campus. communicating that these resources are available should be increased beyond just mass emails. advisors should be contacting students and/or mentioning the provided services as well as how to utilize them when helping students pick classes or whatever they may be speaking about.
77,USC,"there are programs like one called wellness wednesdays that are dedicated to de-stressing by spending time working on arts and crafts and i like going to this one. but i think they are lacking in free physical fitness classes or groups. although my school encourages us to exercise, fitness classes are not free. "
78,Sewanee-The University of the South,"i have not sought out any counseling on campus simply for the lack of knowledge on how it works. i think a newsletter of some kind that shows where to go, who you will be seeing, how to schedule an appointment online with a provider, and programs available to students would be helpful. "
79,University of Nevada-Reno,the counseling center is great because they allow you to talk to someone the same day. there are also days where we can go out and talk to someone. they could use more attention with being able to create a more diverse schedule or allowing to book a few days ina d vance 
80,Arizona State,"the strive to constantly get something right on the first try can really put a toll on mental health. for example, being able to fail a quiz & then trying again until you get it right is more valuable than playing memory games & having to get each question right the first time. "
81,Youngstown State University,none really if you reach out to counseling and have problems that can’t be fixed in 2 talks you are told you have to many problems and no one is going to have problems that can be fixed fast if you are going for depression or anxiety bc that’s just not how it works
82,Holmes Community College,"it would be pretty cool if we had diagnostics from professionals- like having the ability to have someone check your mental health. not a lot of families allow their children to get a mental diagnosis, and that leads students concerned- not knowing if they are just going insane or actually have a mental disorder."
83,UTK,"counselors on campus are lacking. my college needs more counselors and more training i feel for the counselors. i have only one experience with mental health services but my therapist from the student health center was demeaning, not helpful, and very cynical with my situation. it felt like i wasn't being believed."
84,Arizona State,i have not used any mental health or wellness supports from asu as i am an online student and have a personal therapist. there needs to be more support groups whether it is on sundevilsync or on facebook for everyone to share their mental struggles and we not asking about academics. 
85,Washington State,"the counseling office is small and can't accommodate the number of students who are seeking mental health counseling. it makes it extremely difficult to get an appointment. as a student studying abroad right now, i do not feel like i have any support or connection to the mental health services at wsu."
86,UConn,"i have not yet taken advantage of any mental health or wellness services provided by my college. however, based on the things that i've heard from others, i would say that these services should be expanded. for example, more counselors and a more helpful hotline should be made available to students."
87,Ohio State,student life disability services and counseling and consultation services have been really supportive and done well in helping those in need of mental health and wellness services. i think campus needs more available psychiatrists and group counseling to help those that need medication and benefit from therapy in small groups. 
88,Rowan,"i don't have an answer to the first question but for the second i think awareness of social factors' impact on mental health desperately needs to be addressed because mental health struggles are very different between financially secure straight white people vs. people of color, immigrants, poor people, lgbtq, etc. groups"
89,University of Washington,"there is a lot that i don't use as i don't like to talk to people in person about my issues, but also don't want to put it online so it's a hard balance to follow, so more open about where and who i should talk to anonymously would be good."
90,Virginia Polytechnic Institute and State University,"i appreciate that the cook counseling center has multiple psychiatrists on staff who can prescribe/manage mental health medications (i've had bad experiences with some of the few off-campus providers before switching to cook), and the reception/nursing staff that help manage appointments and rx refill requests are quite helpful (especially nurse crystal)"
91,Florida International University,i believe that fiu has great mental health and wellness programs overall. i just find it a bit difficult to have access to them. i wish i could just call and be able to speak to a therapist about what i am feeling and what is going on in my life.
92,Arizona State,"i know only of two currently which is the counseling services and the 360 life services. they seem like they work great as i have not yet had to use them, however i am not sure how well they would work with being an only online student and having conflicting schedules"
93,Williams,i don’t think any work well. i had a tough time both times i tried using the college’s resources and ended up using teledoc to get a off-label prescription for a heart drug that somewhat helps with anxiety (teladoc didn’t have a psychiatrist so i resorted to a family doctor)
94,Oklahoma,"i have not personally used the mental health services on campus, but from what i have heard, they are helpful. the resources are definitely there. one of the biggest issues is that there is not enough staff, so people may not be able to immediately get in for help."
95,Colorado School of Mines,the initial meetings with the wellness services were good. the process was quick to see what resources i needed at the time. the staff was very caring. now that i've moved on from that i feel like i still need help and i don't know how to ask again.
96,Duke,"there are many good wellness meetings and events. and there is good communication around east to access people to talk to, peers or therapists. however, the on campus therapists cannot do much and they don’t make it clear just how little they can do. e.g. can’t even diagnose adhd"
97,UMass Amherst,"mindfulness programs provide great support. i don’t know the scope of umass’ mental health programs as i seek  services outside of the college, but i would imagine it is not fully staffed or funded. there should be more focus in that area. thank you for conducting this survey."
98,Georgia,"i'm not sure what mental health or wellness services/supports are provided by my college but in general, i've heard that the quality of such services (mental health/wellness) isn't very good quality nor long-lasting. i think the overall sector of it in uga has to be improved and more funded."
99,Arizona State,"the counselors on campus are generally nice, but very, very busy. i’ve known people personally who have had very negative reports of how asu handles what they perceive to be an emergency. i think there needs to be professional victim advocates for people who have experienced sexual assault. "
100,University of Arizona,"i'm not sure which mental health or wellness services and supports are working well. i feel that having a club of some sort would help which leads to building bonds. then, i'd feel like i have an obligation to see these people and get the help i need. "
101,University of Arizona,campus health is easily accessible and i do believe it is covered by student insurance. there should be a 24/7 location or hotline to contact when needed and the off campus resources need to be expanded. everything just needs to be talked about more frequently as well. 
102,UIC,what’s working well is the on site availability of support however anything over the internet or phone can be hard to schedule with your time and to access making the appointments can be a bit tedious especially when you may want help but need it a bit sooner
103,University of Minnesota,i genuinely can’t think of any resource that is actually timely and helpful. there are next to no counseling sessions available since every single one of the sessions is booked. paws is a bs program that is only a temporary solution to a difficult and complex issue 
104,Temple,"last semester, there was a time where dogs were brought to the library to de-stress around finals. i thought it was nice, but there should be things open for the entire semester/year and be open for everyone, without anything possibly restricting them, such as a dog allergy "
105,Oswego,the counseling center is way over booked. students either can’t get an appointment or they only get like one or two each semester. this is something that many people need consistency with. the college needs more funding so that they can hire additional mental health counselors and therapists.
